ts;event_type;action;summary;modul;status;provider;model;token_in;token_out;duration_ms
2026-03-27T17:45:44.248;ui;panel_switched;Panel: einstellungen;ui;ok;;;;;
2026-03-27T17:45:31.554;ui;kira_workspace_closed;Kira Workspace geschlossen;ui;ok;;;;;
2026-03-27T17:45:11.520;ui;kira_workspace_open;Kira Workspace geoeffnet;ui;ok;;;;;
2026-03-27T17:44:41.503;ui;panel_switched;Panel: kommunikation;ui;ok;;;;;
2026-03-27T17:44:32.714;kira;mail_classified;Your receipt from Anthropic, PBC #2525-0542-4060;mail_monitor;ok;;;;;
2026-03-27T17:44:32.653;kira;mail_classified;Your receipt from Anthropic, PBC #2525-0542-4060;mail_monitor;ok;;;;;
2026-03-27T17:44:32.603;kira;mail_classified;Your receipt from Anthropic, PBC #2045-7203-0466;mail_monitor;ok;;;;;
2026-03-27T17:44:32.559;kira;mail_classified;Your receipt from Anthropic, PBC #2045-7203-0466;mail_monitor;ok;;;;;
2026-03-27T17:44:32.419;kira;mail_classified;Your receipt from Anthropic, PBC #2316-3064-2375;mail_monitor;ok;;;;;
2026-03-27T17:44:32.370;kira;mail_classified;Your receipt from Anthropic, PBC #2316-3064-2375;mail_monitor;ok;;;;;
2026-03-27T17:44:32.326;kira;mail_classified;💡 Wichtige Infos zu Aufbewahrungsfristen, Betriebsprüfung leicht gemacht mit Lexware Office, Fristen;mail_monitor;ok;;;;;
2026-03-27T17:44:32.149;kira;mail_classified;Ihr Angebot von rauMKult Sichtbeton A-SB260094;mail_monitor;ok;;;;;
2026-03-27T17:44:28.189;ui;kira_workspace_closed;Kira Workspace geschlossen;ui;ok;;;;;
2026-03-27T17:44:26.632;kira;mail_classified;Re: AW: AW: Fwd:;mail_monitor;ok;;;;;
2026-03-27T17:44:26.496;kira;mail_classified;Re: AW: Fwd:;mail_monitor;ok;;;;;
2026-03-27T17:44:26.395;kira;mail_classified;Fwd:;mail_monitor;ok;;;;;
2026-03-27T17:44:25.411;kira;mail_classified;AW: Ihr Angebot von rauMKult Sichtbeton A-SB260094;mail_monitor;ok;;;;;
2026-03-27T17:44:25.342;kira;mail_classified;Ihr Angebot von rauMKult Sichtbeton A-SB260094;mail_monitor;ok;;;;;
2026-03-27T17:44:25.144;kira;mail_classified;Rechnung RE-SB260102 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:44:25.087;kira;mail_classified;Rechnung RE-SB260101 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:44:25.028;kira;mail_classified;Abschlagsrechnung RE-SB260099 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:44:24.970;kira;mail_classified;Auftragsbestätigung AB-SB260120 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:44:24.915;kira;mail_classified;Abschlagsrechnung RE-SB260099 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:44:24.864;kira;mail_classified;Ihr Angebot von rauMKult Sichtbeton A-SB260093;mail_monitor;ok;;;;;
2026-03-27T17:44:24.799;kira;mail_classified;Ihr Angebot von rauMKult Sichtbeton A-SB260092;mail_monitor;ok;;;;;
2026-03-27T17:44:24.645;kira;mail_classified;Fwd: 240613 Sp0299 Gb-MB Säulen bearbeiten ;mail_monitor;ok;;;;;
2026-03-27T17:44:23.207;kira;mail_classified;Rechnung RE-SB260098 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:44:23.154;kira;mail_classified;Rechnung RE-SB250096 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:44:23.052;kira;mail_classified;Rechnung RE-SB260097 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:44:23.004;kira;mail_classified;Rechnung RE-SB260097 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:44:22.953;kira;mail_classified;Rechnung RE-SB250095 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:44:22.899;kira;mail_classified;Rechnung RE-SB250095 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:44:04.157;ui;kira_workspace_open;Kira Workspace geoeffnet;ui;ok;;;;;
2026-03-27T17:43:48.405;kira;mail_classified;Dein Wissens-Boost: Webinare im kommenden Monat;mail_monitor;ok;;;;;1
2026-03-27T17:43:48.361;kira;mail_classified;rauMKult® Sichtbeton - Zahlung eingegangen;mail_monitor;ok;;;;;
2026-03-27T17:43:48.324;kira;mail_classified;Zahlungen Eingegangen Leistungen rauMKult gesammelt;mail_monitor;ok;;;;;
2026-03-27T17:43:48.257;kira;mail_classified;rauMKult® Sichtbeton - Zahlung eingegangen;mail_monitor;ok;;;;;
2026-03-27T17:43:48.212;kira;mail_classified;Erinnerung: Ihr Bankkonto war nicht ausreichend gedeckt;mail_monitor;ok;;;;;
2026-03-27T17:43:48.157;kira;mail_classified;Login mit neuem Gerät;mail_monitor;ok;;;;;
2026-03-27T17:43:48.110;kira;mail_classified;Sie haben eine Zahlung an Connectify, Inc. autorisiert;mail_monitor;ok;;;;;
2026-03-27T17:43:48.046;kira;mail_classified;Unzureichende Deckung Ihres Bankkontos;mail_monitor;ok;;;;;
2026-03-27T17:43:47.995;kira;mail_classified;Ihre Bank hat Ihre Überweisung abgelehnt;mail_monitor;ok;;;;;
2026-03-27T17:43:47.940;kira;mail_classified;Fwd: Es befinden sich noch Artikel in Ihrem Warenkorb.;mail_monitor;ok;;;;;
2026-03-27T17:43:47.815;kira;mail_classified;multichannelday: Dein Vorteilspreis für DAS Event des Jahres;mail_monitor;ok;;;;;
2026-03-27T17:43:47.774;kira;mail_classified;Kostenlose PayPal Point-of-Sale-Hardware - unser Angebot für Sie!;mail_monitor;ok;;;;;
2026-03-27T17:43:47.729;kira;mail_classified;Hier ist die Prämie, auf die Sie gewartet haben;mail_monitor;ok;;;;;
2026-03-27T17:43:47.679;kira;mail_classified;Sie haben eine Zahlung an Avast Software s.r.o... autorisiert;mail_monitor;ok;;;;;
2026-03-27T17:43:47.636;kira;mail_classified;Sie haben Ihr AVG Internet Security-Abonnement verlängert;mail_monitor;ok;;;;;
2026-03-27T17:43:47.588;kira;mail_classified;rauMKult Sichtbeton - Unsere Leistung Ihre Meinung!;mail_monitor;ok;;;;;
2026-03-27T17:43:45.113;kira;mail_classified;Re: Anfrage Schleifstein;mail_monitor;ok;;;;;
2026-03-27T17:43:45.061;kira;mail_classified;AW: Bestellung;mail_monitor;ok;;;;;
2026-03-27T17:43:45.013;kira;mail_classified;AW: Mariensiel | Sichtestrich Retusche;mail_monitor;ok;;;;;
2026-03-27T17:43:44.966;kira;mail_classified;Re: Meine Bestellung - Produkt kann nicht in Warenkorb gelegt werden;mail_monitor;ok;;;;;
2026-03-27T17:43:44.878;kira;mail_classified;Re: Bestellbestätigung #USXL9 — rauMKult-Sichtbeton;mail_monitor;ok;;;;;
2026-03-27T17:43:44.553;kira;mail_classified;Fw: Neuer Sendungsstatus;mail_monitor;ok;;;;;
2026-03-27T17:43:44.504;kira;mail_classified;Fw: Neuer Sendungsstatus;mail_monitor;ok;;;;;
2026-03-27T17:43:44.454;kira;mail_classified;Re: Camping Wagner - Bestellung K20011-R6362850;mail_monitor;ok;;;;;
2026-03-27T17:43:44.407;kira;mail_classified;Re: Bestellbestätigung #JYBKQ — rauMKult® Shop;mail_monitor;ok;;;;;
2026-03-27T17:43:44.362;kira;mail_classified;Re: Fwd: Bestellbestätigung #JYBKQ — rauMKult® Shop;mail_monitor;ok;;;;;
2026-03-27T17:43:44.309;kira;mail_classified;Fw: [Wichtig-NO-REPLY] Ihre Bestellung Nr. 45716 vom 26.11.2025;mail_monitor;ok;;;;;
2026-03-27T17:43:44.240;kira;mail_classified;Fw: Versandbestätigung, Lieferschein und Rechnung zu Ihrer Bestellung 6436265 bei Camping Wagner;mail_monitor;ok;;;;;
2026-03-27T17:43:44.190;kira;mail_classified;Fw: GASPROFI | Rechnung und Lieferschein zu Auftrags-Nr. 795358 vom
 09.12.2025 -  [Wichtig];mail_monitor;ok;;;;;
2026-03-27T17:43:44.120;kira;mail_classified;Fw: GASPROFI | Rechnung und Sendungsverfolgung zu Ihrem Auftrag - Nr.
 795358;mail_monitor;ok;;;;;
2026-03-27T17:43:44.067;kira;mail_classified;Fw: [Billbee] Deine Rechnung 1046130;mail_monitor;ok;;;;;
2026-03-27T17:43:44.013;kira;mail_classified;Fw: [Wichtig-NO-REPLY] Ihre Bestellung Nr. 45716 vom 26.11.2025;mail_monitor;ok;;;;;
2026-03-27T17:43:43.953;kira;mail_classified;Fw: Bestellung CN45716 bestätigt;mail_monitor;ok;;;;;
2026-03-27T17:43:43.892;kira;mail_classified;Re: Neubau Sichtbetondecke optisch beziehungsweise kosmetisch
 aufwerten;mail_monitor;ok;;;;;
2026-03-27T17:43:43.849;kira;mail_classified;Fw: Bestellung WHDTZ(2) Zahlungsinformation bei Vorkasse;mail_monitor;ok;;;;;
2026-03-27T17:43:43.805;kira;mail_classified;Deine Bestellung;mail_monitor;ok;;;;;
2026-03-27T17:43:36.077;kira;mail_classified;Neue Betonkosmetik Anfrage (Landing) – Patric Kuhn;mail_monitor;ok;;;;;
